"","sample_id","site_id","updated_sample_type","fake_kelp_height","year","month","day","sampling_round","lab_round","lab_blistering","water_type","aquarium_salinity","paper_aquarium_day","aquarium_day","position_of_meristem","desmerestia","extraction_kit_brand","lab_or_field_sampled","pcr_cycles","pcr_position","N.conduct","mean.conduct","sd.conduct","N.temp","mean.temp","sd.temp","se.conduct","lci.conduct","uci.conduct","se.temp","lci.temp","uci.temp"
"airline20202253","airline20202253","20","airline",NA,2022,5,3,9,2,"","lab",20,"day0","D-1",NA,"no","zymo","lab",25,"plate3H4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"airline20202254","airline20202254","20","airline",NA,2022,5,4,9,2,"","lab",20,"day1","D-2",NA,"no","zymo","lab",25,"plate4-B3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"airline-20-2022-5-6","airline-20-2022-5-6","20","airline",NA,2022,5,6,9,2,"","lab",20,"","D-4",NA,"no","zymo","lab",25,"plate6-D3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"airline-20-2022-5-18","airline-20-2022-5-18","20","airline",NA,2022,5,18,10,3,"","lab",20,"day1","D-2",NA,"no","zymo","lab",25,"plate3-c5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"airline-20-2022-5-20","airline-20-2022-5-20","20","airline",NA,2022,5,20,10,3,"","lab",20,"","D-4",NA,"no","zymo","lab",25,"plate4--e7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"airline-20-2022-5-17","airline-20-2022-5-17","20","airline",NA,2022,5,17,10,3,"","lab",20,"day0","D-1",NA,"no","zymo","lab",25,"plate6-D12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"airline-20-2022-5-21","airline-20-2022-5-21","20","airline",NA,2022,5,21,10,3,"","lab",20,"day4","D-5",NA,"no","zymo","lab",25,"plate5-G4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"airline-20-2022-5-31","airline-20-2022-5-31","20","airline",NA,2022,5,31,11,4,"","lab",20,"day0","D-1",NA,"no","zymo","lab",25,"plate6-G3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"airline-20-2022-6-1","airline-20-2022-6-1","20","airline",NA,2022,6,1,11,4,"","lab",20,"day1","D-2",NA,"no","zymo","lab",25,"plate5-G9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"airline-20-2022-6-4","airline-20-2022-6-4","20","airline",NA,2022,6,4,11,4,"","lab",20,"day4","D-5",NA,"no","zymo","lab",25,"plate6-H7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"airline-20-2022-6-14","airline-20-2022-6-14","20","airline",NA,2022,6,14,12,5,"","lab",20,"day0","D-1",NA,"no","zymo","lab",35,"plate7-A2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"airline-20-2022-6-15","airline-20-2022-6-15","20","airline",NA,2022,6,15,12,5,"","lab",20,"day1","D-2",NA,"no","zymo","lab",25,"plate7-B3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"airline-20-2022-6-18","airline-20-2022-6-18","20","airline",NA,2022,6,18,12,5,"","lab",20,"day4","D-5",NA,"no","zymo","lab",25,"plate7-B12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"airline-20-2022-6-20","airline-20-2022-6-20","20","airline",NA,2022,6,20,12,5,"","lab",20,"","D-7",NA,"no","zymo","lab",35,"plate7-C10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"airline-20-2022-6-30","airline-20-2022-6-30","20","airline",NA,2022,6,30,13,6,"","lab",20,"day1","D-2",NA,"no","zymo","lab",25,"plate7-E1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"airline-20-2022-7-2","airline-20-2022-7-2","20","airline",NA,2022,7,2,13,6,"","lab",20,"day4","D-5",NA,"no","zymo","lab",25,"plate7-F1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"airline-20-2022-7-12","airline-20-2022-7-12","20","airline",NA,2022,7,12,14,7,"","lab",20,"day0","D-1",NA,"no","zymo","lab",25,"plate5-E1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"airline-20-2022-7-13","airline-20-2022-7-13","20","airline",NA,2022,7,13,14,7,"","lab",20,"day1","D-2",NA,"no",NA,"lab",25,"plate5-C9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"airline-20-2022-7-28","airline-20-2022-7-28","20","airline",NA,2022,7,28,15,8,"","lab",20,"day1","D-2",NA,"no","zymo","lab",35,"plate5-A3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"airline-20-2022-7-31","airline-20-2022-7-31","20","airline",NA,2022,7,31,15,8,"","lab",20,"day4","D-5",NA,"no","zymo","lab",25,"plate8-E8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"airline1-a-30-2022-4-25","airline1-a-30-2022-4-25","30","airline",NA,2022,4,25,8,1,"","lab",10,"","D-7",NA,"no","zymo","lab",35,"plate2-F-6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"airline30202254","airline30202254","30","airline",NA,2022,5,4,9,2,"","lab",30,"day1","D-2",NA,"no","zymo","lab",25,"plate4-H1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"airline-30-2022-5-6","airline-30-2022-5-6","30","airline",NA,2022,5,6,9,2,"","lab",30,"","D-4",NA,"no","zymo","lab",35,"plate6-D2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"airline-30-2022-5-18","airline-30-2022-5-18","30","airline",NA,2022,5,18,10,3,"","lab",30,"day1","D-2",NA,"no","zymo","lab",25,"plate3-e7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"airline-30-2022-5-20","airline-30-2022-5-20","30","airline",NA,2022,5,20,10,3,"","lab",30,"","D-4",NA,"no","zymo","lab",25,"plate4--e6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"airline-30-2022-5-17","airline-30-2022-5-17","30","airline",NA,2022,5,17,10,3,"","lab",30,"day0","D-1",NA,"no","zymo","lab",25,"plate5-F9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"airline-30-2022-5-21","airline-30-2022-5-21","30","airline",NA,2022,5,21,10,3,"","lab",30,"day4","D-5",NA,"no","zymo","lab",25,"plate6-F7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"airline-30-2022-6-1","airline-30-2022-6-1","30","airline",NA,2022,6,1,11,4,"","lab",30,"day1","D-2",NA,"no","zymo","lab",35,"plate6-G9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"airline-30-2022-6-4","airline-30-2022-6-4","30","airline",NA,2022,6,4,11,4,"","lab",30,"day4","D-5",NA,"no","zymo","lab",25,"plate6-H6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"airline302022530","airline302022530","30","airline",NA,2022,5,31,11,4,"","lab",30,"day0","D-1",NA,"no","zymo","lab",25,"plate5g2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"airline-30-2022-6-14","airline-30-2022-6-14","30","airline",NA,2022,6,14,12,5,"","lab",30,"day0","D-1",NA,"no","zymo","lab",25,"plate8-f8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"airline-30-2022-6-15","airline-30-2022-6-15","30","airline",NA,2022,6,15,12,5,"","lab",30,"day1","D-2",NA,"no","zymo","lab",25,"plate7-B2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"airline-30-2022-6-18","airline-30-2022-6-18","30","airline",NA,2022,6,18,12,5,"","lab",30,"day4","D-5",NA,"no","zymo","lab",25,"plate7-B11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"airline-30-2022-6-20","airline-30-2022-6-20","30","airline",NA,2022,6,20,12,5,"","lab",30,"","D-7",NA,"no","zymo","lab",35,"plate7-C9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"airline-30-2022-6-30","airline-30-2022-6-30","30","airline",NA,2022,6,30,13,6,"","lab",30,"day1","D-2",NA,"no","zymo","lab",25,"plate7-D12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"airline-30-2022-7-2","airline-30-2022-7-2","30","airline",NA,2022,7,2,13,6,"","lab",30,"day4","D-5",NA,"no","zymo","lab",25,"plate5-A9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"airline-30-2022-7-12","airline-30-2022-7-12","30","airline",NA,2022,7,12,14,7,"","lab",30,"day0","D-1",NA,"no","zymo","lab",25,"plate7-G3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"airline-30-2022-7-13","airline-30-2022-7-13","30","airline",NA,2022,7,13,14,7,"","lab",30,"day1","D-2",NA,"no","zymo","lab",35,"plate7-G8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"airline-30-2022-7-16","airline-30-2022-7-16","30","airline",NA,2022,7,16,14,7,"","lab",30,"day4","D-5",NA,"no","zymo","lab",35,"plate5-E6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"airline-30-2022-7-28","airline-30-2022-7-28","30","airline",NA,2022,7,28,15,8,"","lab",30,"day1","D-2",NA,"no","zymo","lab",35,"plate6-e9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"airline-30-2022-7-31","airline-30-2022-7-31","30","airline",NA,2022,7,31,15,8,"","lab",30,"day4","D-5",NA,"no","zymo","lab",25,"plate8-E6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"meristem1a-302022420","meristem1a-302022420","a-30","meristem",NA,2022,4,20,8,1,"","lab",30,"day1","D-2",NA,"no","zymo","lab",25,"plate3E11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"water2-a-30-2022-4-25","water2-a-30-2022-4-25","a-30","water",NA,2022,4,25,8,1,"","lab",30,"","D-7",NA,"no","zymo","lab",25,"plate6-A12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"meristem-a-30-2022-5-4","meristem-a-30-2022-5-4","a-30","meristem",NA,2022,5,4,9,2,"","lab",30,"day1","D-2",NA,"no","zymo","lab",35,"plate8-f3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"water-a-30-2022-5-3","water-a-30-2022-5-3","a-30","water",NA,2022,5,3,9,2,"","lab",30,"day0","D-1",NA,"no","zymo","lab",25,"plate5-C1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"water-a-30-2022-5-4","water-a-30-2022-5-4","a-30","water",NA,2022,5,4,9,2,"","lab",30,"day1","D-2",NA,"no","zymo","lab",25,"plate5-B3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"water-a-30-2022-5-6","water-a-30-2022-5-6","a-30","water",NA,2022,5,6,9,2,"","lab",30,"","D-4",NA,"no","zymo","lab",25,"plate6-C11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"meristem-a-30-2022-5-21","meristem-a-30-2022-5-21","a-30","meristem",NA,2022,5,21,10,3,"y","lab",30,"day4","D-5",NA,"no","zymo","lab",35,"plate6-F8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"water-a-30-2022-5-17","water-a-30-2022-5-17","a-30","water",NA,2022,5,17,10,3,"","lab",30,"day0","D-1",NA,"no","zymo","lab",25,"plate5-D6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"water-a-30-2022-5-20","water-a-30-2022-5-20","a-30","water",NA,2022,5,20,10,3,"","lab",30,"","D-4",NA,"no","zymo","lab",25,"plate5-D3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"watera-302022521","watera-302022521","a-30","water",NA,2022,5,21,10,3,"","lab",30,"day4","D-5",NA,"no","zymo","lab",25,"plate8-F-4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"meristem-a-30-2022-6-1","meristem-a-30-2022-6-1","a-30","meristem",NA,2022,6,1,11,4,"","lab",30,"day1","D-2",NA,"no","zymo","lab",25,"plate5-G10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"meristem-f-10-2022-6-18","meristem-f-10-2022-6-18","f-10","meristem",NA,2022,6,18,12,5,"y","lab",10,"day4","D-5",NA,"no","zymo","lab",35,"plate5-H6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"water-a-30-2022-6-1","water-a-30-2022-6-1","a-30","water",NA,2022,6,1,11,4,"","lab",30,"day0","D-1",NA,"no","zymo","lab",25,"plate5-C7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"water-a-30-2022-6-4","water-a-30-2022-6-4","a-30","water",NA,2022,6,4,11,4,"","lab",30,"day4","D-5",NA,"no","zymo","lab",35,"plate5-D11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"meristem-a-30-2022-6-22","meristem-a-30-2022-6-22","a-30","meristem",NA,2022,6,22,12,5,"","lab",30,"","D-9",NA,"no","quiagen_tubes","lab",35,"plate2-G-4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"meristem-a-30-2022-6-26","meristem-a-30-2022-6-26","a-30","meristem",NA,2022,6,26,12,5,"","lab",30,"","D-15",NA,"no","quiagen_tubes","lab",25,"plate2-H-10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"water-a-30-2022-6-26","water-a-30-2022-6-26","a-30","water",NA,2022,6,26,12,5,"","lab",30,"","D-15",NA,"no","quiagen_tubes","lab",35,"plate2-F-10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"meristem-a-30-2022-6-15","meristem-a-30-2022-6-15","a-30","meristem",NA,2022,6,15,12,5,"","lab",30,"day1","D-2",NA,"no",NA,"lab",35,"plate7-B4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"meristem-d-30-2022-6-18","meristem-d-30-2022-6-18","d-30","meristem",NA,2022,6,18,12,5,"y","lab",30,"day4","D-5",NA,"no","zymo","lab",25,"plate7-C3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"meristem-a-30-2022-6-20","meristem-a-30-2022-6-20","a-30","meristem",NA,2022,6,20,12,5,"","lab",30,"","D-7",NA,"no","zymo","lab",25,"plate7-C12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"water-a-30-2022-6-14","water-a-30-2022-6-14","a-30","water",NA,2022,6,14,12,5,"","lab",30,"day0","D-1",NA,"no","zymo","lab",25,"plate8-f9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"water-a-30-2022-6-15","water-a-30-2022-6-15","a-30","water",NA,2022,6,15,12,5,"","lab",30,"day1","D-2",NA,"no","zymo","lab",25,"plate7-A6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"water-a-30-2022-6-18","water-a-30-2022-6-18","a-30","water",NA,2022,6,18,12,5,"","lab",30,"day4","D-5",NA,"no","zymo","lab",25,"plate7-B7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"water-a-30-2022-6-20","water-a-30-2022-6-20","a-30","water",NA,2022,6,20,12,5,"","lab",30,"","D-7",NA,"no","zymo","lab",25,"plate7-C6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"meristem-a-30-2022-6-30","meristem-a-30-2022-6-30","a-30","meristem",NA,2022,6,30,13,6,"","lab",30,"day1","D-2",NA,"no","zymo","lab",25,"plate7-E3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"meristem-c-10-2022-7-16","meristem-c-10-2022-7-16","c-10","meristem",NA,2022,7,16,14,7,"y","lab",10,"day4","D-5",NA,"no","zymo","lab",25,"plate7-H11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"water-a-30-2022-6-28","water-a-30-2022-6-28","a-30","water",NA,2022,6,28,13,6,"","lab",30,"day0","D-1",NA,"no","zymo","lab",35,"plate5-D5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"water-a-30-2022-6-30","water-a-30-2022-6-30","a-30","water",NA,2022,6,30,13,6,"","lab",30,"day1","D-2",NA,"no","zymo","lab",25,"plate5-A4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"water-a-30-2022-7-2","water-a-30-2022-7-2","a-30","water",NA,2022,7,2,13,6,"","lab",30,"day4","D-5",NA,"no","zymo","lab",35,"plate7-E9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"meristem-f-10-2022-7-16","meristem-f-10-2022-7-16","f-10","meristem",NA,2022,7,16,14,7,"y","lab",10,"day4","D-5",NA,"no","zymo","lab",35,"plate6-c5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"water-a-30-2022-7-13","water-a-30-2022-7-13","a-30","water",NA,2022,7,13,14,7,"","lab",30,"day1","D-2",NA,"no","zymo","lab",35,"plate8-B-4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"water-a-30-2022-7-16","water-a-30-2022-7-16","a-30","water",NA,2022,7,16,14,7,"","lab",30,"day4","D-5",NA,"no","zymo","lab",25,"plate7-H3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"meristem-a-30-2022-7-28","meristem-a-30-2022-7-28","a-30","meristem",NA,2022,7,28,15,8,"","lab",30,"day1","D-2",NA,"no",NA,"lab",35,"plate6-e11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"meristem-a-30-2022-6-4","meristem-a-30-2022-6-4","a-30","meristem",NA,2022,6,4,11,4,"n","lab",30,"day4","D-5",NA,"no","zymo","lab",25,"plate5-D9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"water-a-30-2022-7-27","water-a-30-2022-7-27","a-30","water",NA,2022,7,27,15,8,"","lab",30,"day0","D-1",NA,"no","zymo","lab",35,"plate8-A3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"water-a-30-2022-7-28","water-a-30-2022-7-28","a-30","water",NA,2022,7,28,15,8,"","lab",30,"day1","D-2",NA,"no","zymo","lab",35,"plate8-A10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"water-a-30-2022-7-31","water-a-30-2022-7-31","a-30","water",NA,2022,7,31,15,8,"","lab",30,"day4","D-5",NA,"no","zymo","lab",25,"plate8-E2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"water1-b-20-2022-4-20","water1-b-20-2022-4-20","b-20","water",NA,2022,4,20,8,1,"","lab",20,"day1","D-2",NA,"no","zymo","lab",35,"plate2-B-6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"water2-b-20-2022-4-25","water2-b-20-2022-4-25","b-20","water",NA,2022,4,25,8,1,"","lab",20,"","D-7",NA,"no","zymo","lab",35,"plate6-B1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"meristem-b-20-2022-5-6","meristem-b-20-2022-5-6","b-20","meristem",NA,2022,5,6,9,2,"","lab",20,"","D-4",NA,"no","zymo","lab",35,"plate2-G-7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"water-b-20-2022-5-3","water-b-20-2022-5-3","b-20","water",NA,2022,5,3,9,2,"","lab",20,"day0","D-1",NA,"no","zymo","lab",25,"plate5-B1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"water-b-20-2022-5-4","water-b-20-2022-5-4","b-20","water",NA,2022,5,4,9,2,"","lab",20,"day1","D-2",NA,"no","zymo","lab",25,"plate6-B12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"water-b-20-2022-5-4a","water-b-20-2022-5-4a","b-20","water",NA,2022,5,4,9,2,"","lab",20,"day1","D-2",NA,"no","zymo","lab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"meristem-b-20-2022-5-18","meristem-b-20-2022-5-18","b-20","meristem",NA,2022,5,18,10,3,"","lab",20,"day1","D-2",NA,"no","zymo","lab",25,"plate3-G8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"meristem-b-20-2022-5-20","meristem-b-20-2022-5-20","b-20","meristem",NA,2022,5,20,10,3,"","lab",20,"","D-4",NA,"no","zymo","lab",35,"plate6-F2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"meristem-a-30-2022-6-18","meristem-a-30-2022-6-18","a-30","meristem",NA,2022,6,18,12,5,"n","lab",30,"day4","D-5",NA,"no","zymo","lab",25,"plate7-C2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"water-b-20-2022-5-17","water-b-20-2022-5-17","b-20","water",NA,2022,5,17,10,3,"","lab",20,"day0","D-1",NA,"no","zymo","lab",25,"plate5-F8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"water-b-20-2022-5-18","water-b-20-2022-5-18","b-20","water",NA,2022,5,18,10,3,"","lab",20,"day1","D-2",NA,"no","zymo","lab",35,"plate6-E3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"water-b-20-2022-5-20","water-b-20-2022-5-20","b-20","water",NA,2022,5,20,10,3,"","lab",20,"","D-4",NA,"no","zymo","lab",25,"plate5-E9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"water-b-20-2022-5-21","water-b-20-2022-5-21","b-20","water",NA,2022,5,21,10,3,"","lab",20,"day4","D-5",NA,"no","zymo","lab",35,"plate8-D-6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"meristem-a-30-2022-7-2","meristem-a-30-2022-7-2","a-30","meristem",NA,2022,7,2,13,6,"n","lab",30,"day4","D-5",NA,"no","zymo","lab",25,"plate7-F3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"water-b-20-2022-5-31","water-b-20-2022-5-31","b-20","water",NA,2022,5,31,11,4,"","lab",20,"day0","D-1",NA,"no","zymo","lab",25,"plate5-B10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
